island,cand,phase,seed,gen,declared_parent,actual_origin_op,valid_same_genome_base,evidence
2,p2g2_023_s3,seed3,966,2,p2g2_023,mint_bilin,False,actual_job_genome_provenance_not_named_screen
2,p2g3_035_s2,seed2,965,3,p2g3_035,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_026_s2,seed2,965,3,p2g3_026,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_014_s2,seed2,965,3,p2g3_014,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_021_s2,seed2,965,3,p2g3_021,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_029_s2,seed2,965,3,p2g3_029,delete_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_064_s2,seed2,965,3,p2g3_064,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_030_s3,seed3,966,2,p2g2_030,delete_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_049_s3,seed3,966,2,p2g2_049,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_012_s3,seed3,966,2,p2g2_012,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_038_s3,seed3,966,2,p2g2_038,add_chan,False,actual_job_genome_provenance_not_named_screen
2,p2g3_003_s2,seed2,965,3,p2g3_003,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_019_s2,seed2,965,3,p2g3_019,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_034_s2,seed2,965,3,p2g3_034,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_062_s2,seed2,965,3,p2g3_062,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_031_s2,seed2,965,3,p2g3_031,delete_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_059_s2,seed2,965,3,p2g3_059,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_062_s3,seed3,966,2,p2g2_062,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_056_s3,seed3,966,2,p2g2_056,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_004_s3,seed3,966,2,p2g2_004,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_036_s3,seed3,966,2,p2g2_036,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_078_s3,seed3,966,2,p2g2_078,merge_share_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_070_s3,seed3,966,2,p2g2_070,merge_cross_edge,False,actual_job_genome_provenance_not_named_screen
2,p2g2_021_s3,seed3,966,2,p2g2_021,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_026_s3,seed3,966,2,p2g2_026,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_045_s2,seed2,965,3,p2g3_045,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_047_s2,seed2,965,3,p2g3_047,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_072_s2,seed2,965,3,p2g3_072,merge_slow_tanh,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_073_s2,seed2,965,3,p2g3_073,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_024_s2,seed2,965,3,p2g3_024,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_038_s2,seed2,965,3,p2g3_038,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_008_s2,seed2,965,3,p2g3_008,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_010_s2,seed2,965,3,p2g3_010,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_009_s2,seed2,965,3,p2g3_009,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_053_s2,seed2,965,3,p2g3_053,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_070_s2,seed2,965,3,p2g3_070,merge_slow_tanh,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_032_s2,seed2,965,3,p2g3_032,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_049_s2,seed2,965,3,p2g3_049,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_060_s2,seed2,965,3,p2g3_060,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_066_s2,seed2,965,3,p2g3_066,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_015_s3,seed3,966,2,p2g2_015,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_067_s3,seed3,966,2,p2g2_067,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_008_s3,seed3,966,2,p2g2_008,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_010_s3,seed3,966,2,p2g2_010,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_044_s3,seed3,966,2,p2g2_044,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_003_s3,seed3,966,2,p2g2_003,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_033_s3,seed3,966,2,p2g2_033,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_074_s3,seed3,966,2,p2g2_074,merge_slow_tanh,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_024_s3,seed3,966,2,p2g2_024,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_018_s3,seed3,966,2,p2g2_018,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_035_s3,seed3,966,2,p2g2_035,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_004_s2,seed2,965,3,p2g3_004,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_098_s3,seed3,966,2,p2g2_098,immigrate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_061_s2,seed2,965,4,p2g4_061,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_039_s3,seed3,966,3,p2g3_039,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_074_s3,seed3,966,3,p2g3_074,merge_slow_tanh,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_015_s3,seed3,966,3,p2g3_015,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_003_s2,seed2,965,4,p2g4_003,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_040_s2,seed2,965,4,p2g4_040,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_036_s3,seed3,966,3,p2g3_036,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_037_s3,seed3,966,3,p2g3_037,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_061_s3,seed3,966,3,p2g3_061,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_067_s3,seed3,966,3,p2g3_067,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_071_s3,seed3,966,3,p2g3_071,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_035_s3,seed3,966,3,p2g3_035,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_026_s3,seed3,966,3,p2g3_026,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_073_s3,seed3,966,3,p2g3_073,merge_share_chan,False,actual_job_genome_provenance_not_named_screen
2,p2g3_020_s3,seed3,966,3,p2g3_020,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_029_s3,seed3,966,3,p2g3_029,delete_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_046_s2,seed2,965,4,p2g4_046,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_049_s2,seed2,965,4,p2g4_049,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_031_s3,seed3,966,3,p2g3_031,delete_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_021_s3,seed3,966,3,p2g3_021,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_064_s3,seed3,966,3,p2g3_064,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_041_s2,seed2,965,4,p2g4_041,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_009_s2,seed2,965,4,p2g4_009,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_036_s2,seed2,965,4,p2g4_036,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_003_s3,seed3,966,3,p2g3_003,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_019_s3,seed3,966,3,p2g3_019,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_034_s3,seed3,966,3,p2g3_034,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_062_s3,seed3,966,3,p2g3_062,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_059_s3,seed3,966,3,p2g3_059,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_004_s2,seed2,965,4,p2g4_004,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_005_s2,seed2,965,4,p2g4_005,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_033_s2,seed2,965,4,p2g4_033,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_037_s2,seed2,965,4,p2g4_037,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_002_s2,seed2,965,4,p2g4_002,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_057_s2,seed2,965,4,p2g4_057,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_058_s2,seed2,965,4,p2g4_058,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_071_s2,seed2,965,4,p2g4_071,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_014_s2,seed2,965,4,p2g4_014,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_021_s2,seed2,965,4,p2g4_021,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_044_s2,seed2,965,4,p2g4_044,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_064_s2,seed2,965,4,p2g4_064,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_015_s2,seed2,965,4,p2g4_015,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_050_s2,seed2,965,4,p2g4_050,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_013_s2,seed2,965,4,p2g4_013,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_045_s3,seed3,966,3,p2g3_045,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_047_s3,seed3,966,3,p2g3_047,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_072_s3,seed3,966,3,p2g3_072,merge_slow_tanh,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_024_s3,seed3,966,3,p2g3_024,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_008_s3,seed3,966,3,p2g3_008,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_010_s3,seed3,966,3,p2g3_010,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_030_s2,seed2,965,4,p2g4_030,delete_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_070_s2,seed2,965,4,p2g4_070,merge_slow_tanh,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_038_s3,seed3,966,3,p2g3_038,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_009_s3,seed3,966,3,p2g3_009,mutate,True,explicit_single_parent_and_matching_ghash_and_model
