island,gen,C9_mode,n,status_ok,status_no_blobs,status_fail_g0a,c9_measured_n,c9_partial_n,c9_full_n,c9_missing_n,c9_mean,c9_median,c9_max,preserved_i2_mean,preserved_i2_median,descriptor_bins_observed,unique_ghashes,strict_economy_class_n,common_I025_mean,common_I025_median,common_I025_max,qualifying_025_n,qualifying_025_per_all_n,qualifying_025_descriptor_bins,qualifying_025_strict_economy_class_n,common_I040_mean,common_I040_median,common_I040_max,qualifying_040_n,qualifying_040_per_all_n,qualifying_040_descriptor_bins,qualifying_040_strict_economy_class_n
1,4,partial,83,83,0,0,83,83,0,0,0.24852530120481928,0.2664,0.6295,54.793840636329,64.13315553435307,55,83,0,47.30851300736723,52.416576215239196,80.95316577068337,21,0.25301204819277107,16,0,42.81731642999017,44.679878446637524,77.3525326165467,19,0.2289156626506024,15,0
1,4,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,4,missing,15,0,9,6,0,0,0,15,,,,,,0,15,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,5,all,98,82,12,4,82,82,0,16,0.24755853658536586,0.29395,0.7412,56.07333032198861,64.4828016439036,52,98,0,48.2439611561256,54.61098057093216,74.05546397120979,19,0.19387755102040816,14,0,43.5463396566078,48.57910813620617,71.18878304069113,15,0.15306122448979592,13,0
1,5,partial,82,82,0,0,82,82,0,0,0.24755853658536586,0.29395,0.7412,56.07333032198861,64.4828016439036,52,82,0,48.2439611561256,54.61098057093216,74.05546397120979,19,0.23170731707317074,14,0,43.5463396566078,48.57910813620617,71.18878304069113,15,0.18292682926829268,13,0
1,5,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,5,missing,16,0,12,4,0,0,0,16,,,,,,0,16,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,6,all,99,75,16,8,75,75,0,24,0.286844,0.3495,0.6485,59.69954796030369,66.12531262124716,49,98,0,51.94576097022777,59.2308182396355,75.76950495905004,23,0.23232323232323232,16,0,47.29348877618221,53.52308034513908,72.34143447591931,21,0.21212121212121213,16,0
1,6,partial,75,75,0,0,75,75,0,0,0.286844,0.3495,0.6485,59.69954796030369,66.12531262124716,49,74,0,51.94576097022777,59.2308182396355,75.76950495905004,23,0.30666666666666664,16,0,47.29348877618221,53.52308034513908,72.34143447591931,21,0.28,16,0
1,6,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,6,missing,24,0,16,8,0,0,0,24,,,,,,0,24,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,7,all,97,78,11,8,78,78,0,19,0.2483705128205128,0.28095,0.6487,55.0075776063498,63.80728661590926,43,94,0,47.46494602527517,54.83529192068687,80.25707756389387,19,0.1958762886597938,12,0,42.93936707663039,47.07895214815771,75.31366205111509,18,0.18556701030927836,12,0
1,7,partial,78,78,0,0,78,78,0,0,0.2483705128205128,0.28095,0.6487,55.0075776063498,63.80728661590926,43,75,0,47.46494602527517,54.83529192068687,80.25707756389387,19,0.24358974358974358,12,0,42.93936707663039,47.07895214815771,75.31366205111509,18,0.23076923076923078,12,0
1,7,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,7,missing,19,0,11,8,0,0,0,19,,,,,,0,19,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,8,all,81,76,4,1,76,76,0,5,0.27934473684210526,0.30325,0.7,53.79171047082366,60.69140843512007,57,76,0,47.32740127417038,49.7687800693581,76.4356844345693,22,0.2716049382716049,13,0,43.448815756178405,45.3296322126291,74.06333114437204,16,0.19753086419753085,10,0
1,8,partial,76,76,0,0,76,76,0,0,0.27934473684210526,0.30325,0.7,53.79171047082366,60.69140843512007,57,71,0,47.32740127417038,49.7687800693581,76.4356844345693,22,0.2894736842105263,13,0,43.448815756178405,45.3296322126291,74.06333114437204,16,0.21052631578947367,10,0
1,8,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,8,missing,5,0,4,1,0,0,0,5,,,,,,0,5,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,9,all,72,65,4,3,65,65,0,7,0.2699615384615385,0.2824,0.7436,55.09248486990547,61.41063112400491,46,71,0,48.068402113967565,51.67965256497014,77.51022737949162,19,0.2638888888888889,16,0,43.85395246040482,43.67576948937894,75.50492988051496,18,0.25,15,0
1,9,partial,65,65,0,0,65,65,0,0,0.2699615384615385,0.2824,0.7436,55.09248486990547,61.41063112400491,46,64,0,48.068402113967565,51.67965256497014,77.51022737949162,19,0.2923076923076923,16,0,43.85395246040482,43.67576948937894,75.50492988051496,18,0.27692307692307694,15,0
1,9,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,9,missing,7,0,4,3,0,0,0,7,,,,,,0,7,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,10,all,69,63,3,3,63,63,0,6,0.24626666666666666,0.211,0.736,51.44034194297203,55.597655572714764,52,69,0,44.73692312389569,48.17517863506594,79.82511252058606,14,0.2028985507246377,12,0,40.71487183244989,41.672906872235046,78.58009001646884,14,0.2028985507246377,12,0
1,10,partial,63,63,0,0,63,63,0,0,0.24626666666666666,0.211,0.736,51.44034194297203,55.597655572714764,52,63,0,44.73692312389569,48.17517863506594,79.82511252058606,14,0.2222222222222222,12,0,40.71487183244989,41.672906872235046,78.58009001646884,14,0.2222222222222222,12,0
1,10,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,10,missing,6,0,3,3,0,0,0,6,,,,,,0,6,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,11,all,70,67,2,1,67,67,0,3,0.2910417910447761,0.3507,0.8185,54.9075085122067,62.86733058469831,47,70,0,48.45667616027443,53.45946347653572,79.98547682431094,21,0.3,17,0,44.58617674911506,49.55324853617692,76.55238145944875,18,0.2571428571428571,14,0
1,11,partial,67,67,0,0,67,67,0,0,0.2910417910447761,0.3507,0.8185,54.9075085122067,62.86733058469831,47,67,0,48.45667616027443,53.45946347653572,79.98547682431094,21,0.31343283582089554,17,0,44.58617674911506,49.55324853617692,76.55238145944875,18,0.26865671641791045,14,0
1,11,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,11,missing,3,0,2,1,0,0,0,3,,,,,,0,3,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,12,all,72,66,4,2,66,66,0,6,0.2840848484848485,0.2532,0.7916,54.71686808922802,60.45739313485082,52,72,0,48.139772279042226,51.26386902850534,78.47719050795587,17,0.2361111111111111,14,0,44.19351479293075,46.547740767580805,78.6137524063647,15,0.20833333333333334,13,0
1,12,partial,66,66,0,0,66,66,0,0,0.2840848484848485,0.2532,0.7916,54.71686808922802,60.45739313485082,52,66,0,48.139772279042226,51.26386902850534,78.47719050795587,17,0.25757575757575757,14,0,44.19351479293075,46.547740767580805,78.6137524063647,15,0.22727272727272727,13,0
1,12,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,12,missing,6,0,4,2,0,0,0,6,,,,,,0,6,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,1,all,100,77,15,8,77,69,8,23,0.2973818181818182,0.3559,0.6581,58.80320904430025,64.89382099192447,55,99,7,51.53695223777065,56.162968925750164,77.67241321957417,18,0.18,14,2,47.17719815385288,52.151920524617104,75.13393057565933,14,0.14,11,1
2,1,partial,69,69,0,0,69,69,0,0,0.2830594202898551,0.3351,0.6581,57.87227164290476,62.94580657320507,49,69,0,50.48068923942495,52.725593972317384,77.67241321957417,16,0.2318840579710145,12,0,46.045739797337056,49.47190502696227,75.13393057565933,13,0.18840579710144928,10,0
2,1,full,8,8,0,0,8,0,8,0,0.4209125,0.40354999999999996,0.5673,66.83254413133643,65.89424588064529,6,7,7,60.64722059850232,60.371854121057396,70.20738417665058,2,0.25,2,2,56.93602647880186,55.227603528209045,64.08390734132047,1,0.125,1,1
2,1,missing,23,0,15,8,0,0,0,23,,,,,,0,23,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,2,all,99,81,10,8,81,81,0,18,0.2748962962962963,0.2935,0.7576,54.58245665929763,64.84009813162153,52,99,0,47.80924990188063,53.748445188084744,75.9304653478542,21,0.21212121212121213,14,0,43.74532584743043,48.022673665253734,70.44934476287904,20,0.20202020202020202,14,0
2,2,partial,81,81,0,0,81,81,0,0,0.2748962962962963,0.2935,0.7576,54.58245665929763,64.84009813162153,52,81,0,47.80924990188063,53.748445188084744,75.9304653478542,21,0.25925925925925924,14,0,43.74532584743043,48.022673665253734,70.44934476287904,20,0.24691358024691357,14,0
2,2,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,2,missing,18,0,10,8,0,0,0,18,,,,,,0,18,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,3,all,98,85,8,5,85,85,0,13,0.26823411764705885,0.2953,0.7026,52.142323970775024,63.13055797148276,59,95,0,45.81259591925774,55.37071325023922,73.2008603420444,24,0.24489795918367346,17,0,42.01475908834736,48.59993614615345,70.59337882908235,22,0.22448979591836735,15,0
2,3,partial,85,85,0,0,85,85,0,0,0.26823411764705885,0.2953,0.7026,52.142323970775024,63.13055797148276,59,82,0,45.81259591925774,55.37071325023922,73.2008603420444,24,0.2823529411764706,17,0,42.01475908834736,48.59993614615345,70.59337882908235,22,0.25882352941176473,15,0
2,3,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,3,missing,13,0,8,5,0,0,0,13,,,,,,0,13,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,4,all,97,81,9,7,81,81,0,16,0.26325432098765433,0.3092,0.6314,50.691943101986574,59.663906560636526,48,96,0,44.600315351181294,52.746840295526084,72.18414461952425,17,0.17525773195876287,14,0,40.945338700698116,48.600541238150505,69.77883200041252,14,0.14432989690721648,13,0
