island,cohort,phase,C9_mode,n,status_ok,status_no_blobs,status_fail_g0a,c9_measured_n,c9_partial_n,c9_full_n,c9_missing_n,c9_mean,c9_median,c9_max,preserved_i2_mean,preserved_i2_median,descriptor_bins_observed,unique_ghashes,strict_economy_class_n,common_I025_mean,common_I025_median,common_I025_max,qualifying_025_n,qualifying_025_per_all_n,qualifying_025_descriptor_bins,qualifying_025_strict_economy_class_n,common_I040_mean,common_I040_median,common_I040_max,qualifying_040_n,qualifying_040_per_all_n,qualifying_040_descriptor_bins,qualifying_040_strict_economy_class_n
2,baseline_g1_7,screen,partial,554,554,0,0,554,554,0,0,0.2675173285198556,0.29915,0.7576,53.64570796158638,62.75154162933331,167,520,0,46.922214184186174,53.75416322289222,77.67241321957417,140,0.2527075812274368,41,0,42.88811791774605,49.13514536549451,75.13393057565933,122,0.22021660649819494,34,0
2,baseline_g1_7,screen,full,8,8,0,0,8,0,8,0,0.4209125,0.40354999999999996,0.5673,66.83254413133643,65.89424588064529,6,7,7,60.64722059850232,60.371854121057396,70.20738417665058,2,0.25,2,2,56.93602647880186,55.227603528209045,64.08390734132047,1,0.125,1,1
2,baseline_g1_7,seed2,all,239,238,1,0,238,238,0,1,0.279822268907563,0.32394999999999996,0.8048,59.19035592810285,63.16022420750642,134,233,0,51.38832366876621,55.447555788764745,77.18945748529181,60,0.2510460251046025,30,0,46.70710431316423,48.44518894065489,77.07017527943856,53,0.2217573221757322,28,0
2,baseline_g1_7,seed2,partial,238,238,0,0,238,238,0,0,0.279822268907563,0.32394999999999996,0.8048,59.19035592810285,63.16022420750642,134,232,0,51.38832366876621,55.447555788764745,77.18945748529181,60,0.25210084033613445,30,0,46.70710431316423,48.44518894065489,77.07017527943856,53,0.22268907563025211,28,0
2,baseline_g1_7,seed2,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,baseline_g1_7,seed3,all,217,217,0,0,217,217,0,0,0.2680193548387097,0.3108,0.6592,60.35566849762163,63.61341700608105,136,210,0,51.96723524418396,54.76183063634231,79.54612455659745,52,0.23963133640552994,28,0,46.93417529212136,49.06253323718955,76.81889964527797,46,0.2119815668202765,24,0
2,baseline_g1_7,seed3,partial,217,217,0,0,217,217,0,0,0.2680193548387097,0.3108,0.6592,60.35566849762163,63.61341700608105,136,210,0,51.96723524418396,54.76183063634231,79.54612455659745,52,0.23963133640552994,28,0,46.93417529212136,49.06253323718955,76.81889964527797,46,0.2119815668202765,24,0
2,baseline_g1_7,seed3,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,baseline_g1_7,selected_confirmations_pooled,all,456,455,1,0,455,455,0,1,0.27419318681318683,0.3146,0.8048,59.74612038433489,63.470456533755126,182,240,0,51.66441995858083,55.278391737720256,79.54612455659745,112,0.24561403508771928,36,0,46.8153997031284,48.50160078423961,77.07017527943856,99,0.21710526315789475,33,0
2,baseline_g1_7,selected_confirmations_pooled,partial,455,455,0,0,455,455,0,0,0.27419318681318683,0.3146,0.8048,59.74612038433489,63.470456533755126,182,239,0,51.66441995858083,55.278391737720256,79.54612455659745,112,0.24615384615384617,36,0,46.8153997031284,48.50160078423961,77.07017527943856,99,0.2175824175824176,33,0
2,baseline_g1_7,selected_confirmations_pooled,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,baseline_g1_7,verified_same_genome_confirmations,all,448,447,1,0,447,447,0,1,0.2743185682326622,0.3162,0.8048,59.52039474901597,63.34394978834269,178,233,0,51.49826026757853,55.24395514523334,79.54612455659745,110,0.24553571428571427,35,0,46.68497957871607,48.27578743013356,77.07017527943856,98,0.21875,33,0
2,baseline_g1_7,verified_same_genome_confirmations,partial,447,447,0,0,447,447,0,0,0.2743185682326622,0.3162,0.8048,59.52039474901597,63.34394978834269,178,232,0,51.49826026757853,55.24395514523334,79.54612455659745,110,0.24608501118568232,35,0,46.68497957871607,48.27578743013356,77.07017527943856,98,0.21923937360178972,33,0
2,baseline_g1_7,verified_same_genome_confirmations,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,transition_g8,screen,all,82,80,1,1,80,80,0,2,0.32273875,0.3823,0.6535,58.14662225757757,63.3723349727939,48,70,0,51.678435443183176,57.75758475608559,78.69323214120251,27,0.32926829268292684,13,0,47.79752335454654,53.9404893611288,73.76695417353886,22,0.2682926829268293,11,0
2,transition_g8,screen,partial,80,80,0,0,80,80,0,0,0.32273875,0.3823,0.6535,58.14662225757757,63.3723349727939,48,68,0,51.678435443183176,57.75758475608559,78.69323214120251,27,0.3375,13,0,47.79752335454654,53.9404893611288,73.76695417353886,22,0.275,11,0
2,transition_g8,screen,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,transition_g8,seed2,all,19,19,0,0,19,19,0,0,0.22077894736842107,0.0564,0.6824,55.55163828898226,49.087853370585755,18,18,0,47.18320240094722,40.266885440470766,74.81075555867567,7,0.3684210526315789,6,0,42.1621408681262,35.697508352376616,72.63663610827167,6,0.3157894736842105,5,0
2,transition_g8,seed2,partial,19,19,0,0,19,19,0,0,0.22077894736842107,0.0564,0.6824,55.55163828898226,49.087853370585755,18,18,0,47.18320240094722,40.266885440470766,74.81075555867567,7,0.3684210526315789,6,0,42.1621408681262,35.697508352376616,72.63663610827167,6,0.3157894736842105,5,0
2,transition_g8,seed2,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,transition_g8,seed3,all,19,19,0,0,19,19,0,0,0.2142,0.0614,0.6246,54.167517371748495,48.38205344265372,18,18,0,45.98063802881138,37.98022862800068,76.44908612774213,5,0.2631578947368421,4,0,41.0685104230491,31.742182902400543,73.65126890219372,5,0.2631578947368421,4,0
2,transition_g8,seed3,partial,19,19,0,0,19,19,0,0,0.2142,0.0614,0.6246,54.167517371748495,48.38205344265372,18,18,0,45.98063802881138,37.98022862800068,76.44908612774213,5,0.2631578947368421,4,0,41.0685104230491,31.742182902400543,73.65126890219372,5,0.2631578947368421,4,0
2,transition_g8,seed3,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,transition_g8,selected_confirmations_pooled,all,38,38,0,0,38,38,0,0,0.21748947368421054,0.0589,0.6824,54.85957783036538,48.73495340661974,25,18,0,46.5819202148793,39.41013773420504,76.44908612774213,12,0.3157894736842105,7,0,41.615325645587646,33.96511018736403,73.65126890219372,11,0.2894736842105263,6,0
2,transition_g8,selected_confirmations_pooled,partial,38,38,0,0,38,38,0,0,0.21748947368421054,0.0589,0.6824,54.85957783036538,48.73495340661974,25,18,0,46.5819202148793,39.41013773420504,76.44908612774213,12,0.3157894736842105,7,0,41.615325645587646,33.96511018736403,73.65126890219372,11,0.2894736842105263,6,0
2,transition_g8,selected_confirmations_pooled,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
