island,cohort,op,W9,base_candidates_n,unique_ghashes,screen_status_ok_n,screen_status_ok_rate,screen_partial_n,screen_full_n,screen_missing_C9_n,screen_success_n,screen_success_rate,screen_partial_success_n,screen_full_success_n,selected_declared_n,selected_valid_n,complete_valid_pairs_n,declared_pairs_n,invalid_confirmation_rows,any_seed_success_n,any_confirmed_n,any_confirmed_per_all_bases,any_confirmed_per_selected,screen_plus_any_confirmed_n,robust_three_seeds_n,robust_per_all_bases,robust_per_complete_valid_pairs,robust_partial_only_n,robust_partial_per_all_bases
both,transition_g8,merge_slow_tanh,0.25,5,5,5,1.0,5,0,0,3,0.6,3,0,0,0,0,0,0,3,0,0.0,,0,0,0.0,,0,0.0
both,transition_g8,merge_slow_tanh,0.4,5,5,5,1.0,5,0,0,2,0.4,2,0,0,0,0,0,0,2,0,0.0,,0,0,0.0,,0,0.0
both,transition_g8,merge_spatial_ic,0.25,45,27,45,1.0,45,0,0,19,0.4222222222222222,19,0,12,12,12,12,0,20,4,0.08888888888888889,0.3333333333333333,3,3,0.06666666666666667,0.25,3,0.06666666666666667
both,transition_g8,merge_spatial_ic,0.4,45,27,45,1.0,45,0,0,14,0.3111111111111111,14,0,12,12,12,12,0,16,4,0.08888888888888889,0.3333333333333333,2,2,0.044444444444444446,0.16666666666666666,2,0.044444444444444446
both,transition_g8,mint_bilin,0.25,32,32,32,1.0,32,0,0,14,0.4375,14,0,8,8,8,8,0,15,2,0.0625,0.25,1,1,0.03125,0.125,1,0.03125
both,transition_g8,mint_bilin,0.4,32,32,32,1.0,32,0,0,12,0.375,12,0,8,8,8,8,0,13,2,0.0625,0.25,1,1,0.03125,0.125,1,0.03125
both,transition_g8,mutate,0.25,32,32,30,0.9375,30,0,2,3,0.09375,3,0,13,13,12,12,0,3,1,0.03125,0.07692307692307693,1,1,0.03125,0.08333333333333333,1,0.03125
both,transition_g8,mutate,0.4,32,32,30,0.9375,30,0,2,3,0.09375,3,0,13,13,12,12,0,3,1,0.03125,0.07692307692307693,1,1,0.03125,0.08333333333333333,1,0.03125
both,late_g9_12,ALL,0.25,560,541,523,0.9339285714285714,523,0,37,137,0.24464285714285713,137,0,151,151,145,145,0,145,35,0.0625,0.23178807947019867,27,23,0.04107142857142857,0.15862068965517243,23,0.04107142857142857
both,late_g9_12,ALL,0.4,560,541,523,0.9339285714285714,523,0,37,121,0.21607142857142858,121,0,151,151,145,145,0,128,33,0.05892857142857143,0.2185430463576159,26,22,0.039285714285714285,0.15172413793103448,22,0.039285714285714285
both,late_g9_12,add_chan,0.25,64,64,62,0.96875,62,0,2,11,0.171875,11,0,23,23,21,21,0,12,4,0.0625,0.17391304347826086,3,2,0.03125,0.09523809523809523,2,0.03125
both,late_g9_12,add_chan,0.4,64,64,62,0.96875,62,0,2,10,0.15625,10,0,23,23,21,21,0,11,4,0.0625,0.17391304347826086,3,2,0.03125,0.09523809523809523,2,0.03125
both,late_g9_12,delete_bilin,0.25,32,26,32,1.0,32,0,0,12,0.375,12,0,7,7,7,7,0,12,2,0.0625,0.2857142857142857,2,2,0.0625,0.2857142857142857,2,0.0625
both,late_g9_12,delete_bilin,0.4,32,26,32,1.0,32,0,0,11,0.34375,11,0,7,7,7,7,0,11,2,0.0625,0.2857142857142857,2,2,0.0625,0.2857142857142857,2,0.0625
both,late_g9_12,immigrate,0.25,40,40,15,0.375,15,0,25,0,0.0,0,0,1,1,1,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,late_g9_12,immigrate,0.4,40,40,15,0.375,15,0,25,0,0.0,0,0,1,1,1,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,late_g9_12,merge_cross_edge,0.25,60,60,60,1.0,60,0,0,14,0.23333333333333334,14,0,19,19,19,19,0,14,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,late_g9_12,merge_cross_edge,0.4,60,60,60,1.0,60,0,0,10,0.16666666666666666,10,0,19,19,19,19,0,10,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,late_g9_12,merge_slow_tanh,0.25,19,19,19,1.0,19,0,0,3,0.15789473684210525,3,0,7,7,7,7,0,3,1,0.05263157894736842,0.14285714285714285,1,1,0.05263157894736842,0.14285714285714285,1,0.05263157894736842
both,late_g9_12,merge_slow_tanh,0.4,19,19,19,1.0,19,0,0,2,0.10526315789473684,2,0,7,7,7,7,0,2,1,0.05263157894736842,0.14285714285714285,1,1,0.05263157894736842,0.14285714285714285,1,0.05263157894736842
both,late_g9_12,merge_spatial_ic,0.25,25,13,25,1.0,25,0,0,9,0.36,9,0,7,7,6,6,0,10,2,0.08,0.2857142857142857,1,1,0.04,0.16666666666666666,1,0.04
both,late_g9_12,merge_spatial_ic,0.4,25,13,25,1.0,25,0,0,8,0.32,8,0,7,7,6,6,0,9,2,0.08,0.2857142857142857,1,1,0.04,0.16666666666666666,1,0.04
both,late_g9_12,mint_bilin,0.25,144,144,144,1.0,144,0,0,57,0.3958333333333333,57,0,36,36,35,35,0,60,17,0.11805555555555555,0.4722222222222222,14,12,0.08333333333333333,0.34285714285714286,12,0.08333333333333333
both,late_g9_12,mint_bilin,0.4,144,144,144,1.0,144,0,0,53,0.3680555555555556,53,0,36,36,35,35,0,55,17,0.11805555555555555,0.4722222222222222,15,12,0.08333333333333333,0.34285714285714286,12,0.08333333333333333
